MeasureID,ImplementingAgency,AnnouncedYear,StateActTitle,CountryImposing_cleaned,D_IP_bert_3,D_OTHER_INTENTION_bert_3,D_NOT_ENOUGH_INFO_bert_3,MeasureAffectedProducts,MAST_chapterName,MeasureType,firm_specific,ImplementationLevel,same_year_published
5693,Government of Indonesia,2015,Indonesia: Reform package announced by president Joko Widodo,Indonesia,1,0,0,NA,Subsidies (excluding export subsidies),Production subsidy,Not firm specific,national,
5694,Government of Indonesia,2015,Indonesia: Reform package announced by president Joko Widodo,Indonesia,1,0,0,NA,Export-related measures,Trade finance,Not firm specific,national,
5698,Ministry of Finance,2015,Indonesia: Expanded export-financing through Special Assignments,Indonesia,1,0,0,NA,Export-related measures,Trade finance,Not firm specific,national,1
5699,Export Finance Australia,2015,Australia: New export-financing options for SMEs,Australia,1,0,0,NA,Export-related measures,Trade finance,Not firm specific,NFI,
5703,Government of the United States of America,2010,United States of America: Tax subsidies provided under the Advanced Energy Property Credit,United States of America,1,0,0,NA,Subsidies (excluding export subsidies),Tax or social insurance relief,Not firm specific,national,
5706,Government of Australia,2015,Australia: Exploration Development Incentive introduced,Australia,1,0,0,NA,Subsidies (excluding export subsidies),Tax or social insurance relief,Not firm specific,national,1
5712,Citizen Entrepreneurial Development Agency,2009,Botswana: Proposed changes in procurement law to favour local companies,Botswana,1,0,0,NA,Government procurement restrictions,Public procurement localisation,Not firm specific,national,
5712,Ministry of Trade and Industry,2009,Botswana: Proposed changes in procurement law to favour local companies,Botswana,1,0,0,NA,Government procurement restrictions,Public procurement localisation,Not firm specific,national,
5722,Government of Azerbaijan,2014,Azerbaijan: State Program on Industrial Development for the period 2015-2020,Azerbaijan,1,0,0,NA,Instrument unclear,Instrument unclear,Not firm specific,national,
9068,Ministry of Finance,2015,Indonesia: State aid for labour-intensive industries facing layoffs,Indonesia,1,0,0,NA,Subsidies (excluding export subsidies),State loan,Not firm specific,NFI,1
9069,Coordinating Ministry for Economic Affairs,2015,Indonesia: Tax relief for foreign currency holdings,Indonesia,1,0,0,NA,Capital control measures,Controls on commercial transactions and investment instruments,Not firm specific,national,1
9069,Bank Indonesia,2015,Indonesia: Tax relief for foreign currency holdings,Indonesia,1,0,0,NA,Capital control measures,Controls on commercial transactions and investment instruments,Not firm specific,national,1
